Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;"Rating;";;;
Fireball;2600;1981;Action;Starpath Corp.;0.3;0.02;0;0;0.33;;;;;";";;;
Fishing Derby;2600;1980;Sports;Activision;0.48;0.03;0;0.01;0.51;;;;;";";;;
Flag Capture;2600;1983;Action;Atari;0.25;0.02;0;0;0.27;;;;;";";;;
Frankensteins Monster;2600;1982;Action;Data Age;0.3;0.02;0;0;0.32;;;;;";";;;
Freeway;2600;1980;Action;Activision;0.32;0.02;0;0;0.34;;;;;";";;;
Frogger;2600;1981;Action;Parker Bros.;2.06;0.12;0;0.02;2.2;;;;;";";;;
Frogger II: Threeedeep!;2600;1983;Action;Parker Bros.;0.31;0.02;0;0;0.33;;;;;";";;;
Frogs And Flies;2600;1981;Action;Mattel Interactive;0.33;0.02;0;0;0.36;;;;;";";;;
Front Line;2600;1981;Action;Taito;0.22;0.01;0;0;0.24;;;;;";";;;
Frostbite;2600;1983;Action;Activision;0.32;0.02;0;0;0.34;;;;;";";;;
Galaxian;2600;1982;Shooter;Atari;0.72;0.05;0;0.01;0.77;;;;;";";;;
Gauntlet;2600;1982;Action;Answer Software;0.46;0.03;0;0.01;0.5;;;;;";";;;
Ghostbusters;2600;1985;Puzzle;Activision;0.42;0.03;0;0;0.45;;;;;";";;;
Ghostbusters II;2600;1992;Action;Activision;0.2;0.01;0;0;0.21;;;;;";";;;
Grand Prix;2600;1981;Racing;Activision;0.45;0.03;0;0;0.48;;;;;";";;;
Gravitar;2600;1982;Action;Atari;0.35;0.02;0;0;0.38;;;;;";";;;
Gremlins;2600;1983;Action;Atari;0.43;0.03;0;0;0.46;;;;;";";;;
Halloween;2600;1982;Action;Wizard Video Games;0.58;0.03;0;0.01;0.62;;;;;";";;;
Hangman;2600;1978;Puzzle;Atari;0.35;0.02;0;0;0.38;;;;;";";;;
Home Run;2600;1978;Sports;Atari;0.14;0.01;0;0;0.15;;;;;";";;;
Ice Hockey;2600;1980;Sports;Activision;0.46;0.03;0;0.01;0.49;;;;;";";;;
Indy 500;2600;1977;Racing;Atari;0.26;0.01;0;0;0.27;;;;;";";;;
International Soccer;2600;1981;Sports;Mattel Interactive;0.18;0.01;0;0;0.19;;;;;";";;;
Jawbreaker;2600;1981;Action;Tigervision;0.42;0.03;0;0;0.45;;;;;";";;;
Joust;2600;1982;Platform;Atari;1.01;0.06;0;0.01;1.08;;;;;";";;;
Jr. Pac-Man;2600;1983;Puzzle;Atari;0.72;0.05;0;0.01;0.78;;;;;";";;;
Jungle Hunt;2600;1982;Platform;Atari;1.03;0.06;0;0.01;1.1;;;;;";";;;
Kaboom!;2600;1980;Misc;Activision;1.07;0.07;0;0.01;1.15;;;;;";";;;
Kangaroo;2600;1982;Platform;Atari;0.67;0.04;0;0.01;0.72;;;;;";";;;
Karate;2600;1982;Fighting;Ultravision;0.44;0.03;0;0;0.47;;;;;";";;;
Keystone Kapers;2600;1982;Action;Activision;0.62;0.04;0;0.01;0.66;;;;;";";;;
King Kong;2600;1981;Action;Tigervision;0.65;0.04;0;0.01;0.69;;;;;";";;;
Klax;2600;1989;Puzzle;Atari;0.14;0.01;0;0;0.15;;;;;";";;;
Krull;2600;1982;Action;Atari;0.13;0.01;0;0;0.14;;;;;";";;;
Kung-Fu Master;2600;1987;Action;Activision;0.6;0.04;0;0.01;0.65;;;;;";";;;
Laser Blast;2600;1981;Action;Activision;0.37;0.02;0;0;0.39;;;;;";";;;
Mario Bros.;2600;1982;Platform;Atari;1.48;0.09;0;0.02;1.59;;;;;";";;;
Maze Craze: A Game of Cops n Robbers;2600;1980;Action;Atari;0.42;0.02;0;0;0.45;;;;;";";;;
Megamania;2600;1981;Shooter;Activision;1.03;0.06;0;0.01;1.1;;;;;";";;;
Midnight Magic;2600;1983;Action;Atari;0.47;0.03;0;0.01;0.5;;;;;";";;;
Millipede;2600;1983;Shooter;Atari;0.45;0.03;0;0.01;0.48;;;;;";";;;
Missile Command;2600;1980;Shooter;Atari;2.56;0.17;0;0.03;2.76;;;;;";";;;
Moon Patrol;2600;1982;Shooter;Atari;1.05;0.06;0;0.01;1.12;;;;;";";;;
Mountain King;2600;1982;Action;CBS Electronics;0.29;0.02;0;0;0.31;;;;;";";;;
Mouse Trap;2600;1981;Action;Coleco;0.38;0.02;0;0;0.4;;;;;";";;;
Mr. Do!;2600;1982;Action;Coleco;0.26;0.02;0;0;0.27;;;;;";";;;
Mr. Do!s Castle;2600;1983;Action;Parker Bros.;0.15;0.01;0;0;0.17;;;;;";";;;
Ms. Pac-Man;2600;1981;Puzzle;Atari;1.54;0.1;0;0.02;1.65;;;;;";";;;
Pac-Man;2600;1982;Puzzle;Atari;7.28;0.45;0;0.08;7.81;;;;;";";;;
Pengo;2600;1983;Adventure;Atari;0.38;0.02;0;0;0.4;;;;;";";;;
Phoenix;2600;1981;Simulation;Atari;0.42;0.02;0;0;0.45;;;;;";";17;"E;";
Pitfall II: Lost Caverns;2600;1983;Platform;Activision;1.22;0.07;0;0.02;1.31;;;;;";";;;
Pitfall!;2600;1981;Platform;Activision;4.21;0.24;0;0.05;4.5;;;;;";";;;
Polaris;2600;1982;Action;Tigervision;0.26;0.02;0;0;0.28;;;;;";";;;
Pole Position;2600;1982;Racing;Atari;1.1;0.07;0;0.01;1.18;;;;;";";;;
Popeye;2600;1982;Platform;Parker Bros.;0.5;0.03;0;0.01;0.54;;;;;";";;;
Porkys;2600;1982;Action;20th Century Fox Video Games;0.23;0.01;0;0;0.25;;;;;";";;;
Pressure Cooker;2600;1982;Action;Activision;0.14;0.01;0;0;0.15;;;;;";";;;
Q*bert;2600;1982;Puzzle;Parker Bros.;0.55;0.03;0;0.01;0.58;;;;;";";;;
Raiders of the Lost Ark;2600;1981;Action;Atari;0.46;0.03;0;0.01;0.5;;;;;";";;;
Rampage;2600;1988;Action;Activision;0.22;0.01;0;0;0.24;;;;;";";;;
Reactor;2600;1981;Action;Parker Bros.;0.21;0.01;0;0;0.22;;;;;";";;;
RealSports Baseball;2600;1981;Sports;Atari;0.2;0.01;0;0;0.21;;;;;";";;;
RealSports Boxing;2600;1986;Sports;Atari;0.28;0.02;0;0;0.29;;;;;";";;;
RealSports Football;2600;1981;Sports;Atari;0.24;0.01;0;0;0.26;;;;;";";;;
RealSports Tennis;2600;1982;Sports;Atari;0.46;0.03;0;0.01;0.5;;;;;";";;;
RealSports Volleyball;2600;1981;Sports;Atari;0.12;0.01;0;0;0.13;;;;;";";;;
River Raid;2600;1981;Shooter;Activision;1.49;0.09;0;0.02;1.6;;;;;";";;;
River Raid II;2600;1988;Shooter;Activision;0.47;0.03;0;0.01;0.51;;;;;";";;;
Slot Machine;2600;1979;Action;Atari;0.29;0.02;0;0;0.31;;;;;";";;;
Smurf: Rescue In Gargamels Castle;2600;1981;Action;Coleco;0.55;0.03;0;0.01;0.59;;;;;";";;;
Solaris;2600;1986;Shooter;Atari;0.35;0.02;0;0;0.37;;;;;";";;;
Space Invaders;2600;1978;Shooter;Atari;2.36;0.14;0;0.03;2.53;;;;;";";;;
Spider-Man;2600;1981;Action;Parker Bros.;0.87;0.05;0;0.01;0.93;;;;;";";;;
Super Baseball;2600;1987;Sports;Atari;0.07;0;0;0;0.07;;;;;";";;;
Super Breakout;2600;1976;Puzzle;Atari;0.41;0.03;0;0;0.44;;;;;";";;;
Super Football;2600;1987;Sports;Atari;0.07;0;0;0;0.08;;;;;";";;;
The Activision Decathlon;2600;1982;Sports;Activision;0.52;0.03;0;0.01;0.55;;;;;";";;;
X-Man;2600;1982;Action;Universal Gamex;0.58;0.04;0;0.01;0.63;;;;;";";;;
Yars Revenge;2600;1982;Shooter;Atari;0.73;0.04;0;0.01;0.78;;;;;";";;;
Bust-A-Move;3DO;1994;Puzzle;Micro Cabin;0;0;0.02;0;0.02;;;;;";";;;
Policenauts;3DO;1995;Adventure;Konami Digital Entertainment;0;0;0.06;0;0.06;;;;;";";;;
Sotsugyou II: Neo Generation Special;3DO;1995;Simulation;Imageworks;0;0;0.02;0;0.02;;;;;";";;;
12-Sai. Honto no Kimochi;3DS;2014;Adventure;Happinet;0;0;0.07;0;0.07;;;;;";";;;
12-Sai. Koisuru Diary;3DS;2016;Adventure;Happinet;0;0;0.06;0;0.06;;;;;";";;;
3DS Classic Collection;3DS;2016;Misc;Sega;0.04;0;0;0;0.04;;;;;";";;;
4 Elements;3DS;2012;Puzzle;Unknown;0;0.01;0;0;0.01;;;;;"E;";;;
50 Classic Games;3DS;2012;Misc;Avanquest Software;0;0.01;0;0;0.01;;;;;";";;;
7th Dragon III Code: VFD;3DS;2015;Role-Playing;Sega;0.05;0.02;0.13;0.01;0.2;75;29;8.2;38;"T;";;;
Ace Attorney 6;3DS;2016;Adventure;Capcom;0;0;0.28;0;0.28;;;;;";";;;
Ace Combat: Assault Horizon Legacy;3DS;2011;Simulation;Namco Bandai Games;0.1;0.06;0.08;0.01;0.24;71;37;7.8;26;"T;";;;
Adventure Time: Explore the Dungeon Because I Dont Know!;3DS;2013;Action;D3Publisher;0.1;0.04;0;0.01;0.15;;;;;";";;;
Adventure Time: Finn & Jake Investigations;3DS;2015;Action;Little Orbit;0.03;0.06;0;0.01;0.1;;;;;";";;;
Adventure Time: The Secret of the Nameless;3DS;2014;Adventure;Little Orbit;0.01;0;0;0;0.02;;;;;";";;;
Adventure Time: The Secret of the Nameless Kingdom;3DS;2014;Action;Little Orbit;0;0.07;0;0;0.08;65;5;5.6;8;"E10+;";;;
Aikatsu Stars! My Special Appeal;3DS;2016;Action;Namco Bandai Games;0;0;0.02;0;0.02;;;;;";";;;
Aikatsu! 2-nin no My Princess;3DS;2013;Action;Namco Bandai Games;0;0;0.26;0;0.26;;;;;";";;;
Aikatsu! 365 Idol Days;3DS;2014;Adventure;Namco Bandai Games;0;0;0.13;0;0.13;;;;;";";;;
Aikatsu! Cinderella Lesson;3DS;2012;Role-Playing;Namco Bandai Games;0;0;0.2;0;0.2;;;;;";";;;
Aikatsu! My No.1 Stage!;3DS;2015;Misc;Namco Bandai Games;0;0;0.08;0;0.08;;;;;";";;;
AKB48+Me;3DS;2012;Action;Unknown;0;0;0.11;0;0.11;;;;;";";;;
Akogare Girls Collection: Pika Pika Nurse Monogatari - Shounika Haitsumo Oosawagi;3DS;2016;Adventure;Nippon Columbia;0;0;0.01;0;0.01;;;;;";";;;
Akogare Girls Collection: Wan Nyan Doubutsu Byouin - Suteki na Juui-San ni Narou!;3DS;2015;Action;Nippon Columbia;0;0;0.01;0;0.01;;;;;";";;;
All Kamen Rider: Rider Revolution;3DS;2016;Action;Namco Bandai Games;0;0;0.03;0;0.03;;;;;";";;;
Anglers Club: Ultimate Bass Fishing 3D;3DS;2011;Sports;D3Publisher;0;0.03;0;0;0.03;;;;;"E;";;;
Angry Birds Star Wars;3DS;2013;Strategy;Activision;0.15;0.15;0;0.03;0.34;;;3;8;"E;";;;
Angry Birds Trilogy;3DS;2012;Action;Activision;0.38;0.2;0;0.05;0.63;62;7;4.6;20;"E;";;;
Animal Crossing: Happy Home Designer;3DS;2015;Simulation;Nintendo;0.55;1.07;1.41;0.13;3.16;66;60;6.8;107;"E;";;;
Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo;2.08;2.43;4.43;0.4;9.34;88;70;8.7;628;"E;";;;
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!;3DS;2016;Action;Namco Bandai Games;0;0;0.07;0;0.07;;;;;";";;;
Art Academy: Lessons for Everyone;3DS;2012;Action;Nintendo;0.2;0.04;0.21;0.02;0.47;81;14;7.6;22;"E;";;;
Asphalt 3D;3DS;2011;Racing;Ubisoft;0.27;0.16;0.02;0.04;0.49;43;37;4.4;24;"E10+;";;;
Assassination Classroom: Grand Siege on Kuro-sensei;3DS;2015;Action;Namco Bandai Games;0;0;0.13;0;0.13;;;;;";";;;
A-Train: City Simulator;3DS;2014;Simulation;ArtDink;0;0;0.06;0;0.06;65;4;;;"E10+;";;;
A-Train: City Simulator Neo;3DS;2016;Strategy;ArtDink;0;0;0.01;0;0.01;;;;;";";;;
Attack on Titan: Humanity in Chains;3DS;2013;Action;Screenlife;0;0;0.42;0;0.42;46;22;4.5;34;"M;";;;
Azada;3DS;2012;Puzzle;Licensed 4U;0;0.02;0;0;0.03;;;;;"E;";;;
Azure Striker Gunvolt;3DS;2016;Action;Yacht Club Games;0.02;0;0;0;0.02;77;20;8.4;63;"E10+;";;;
Azure Striker Gunvolt: Striker Pack;3DS;2016;Action;Inti Creates;0;0;0.02;0;0.02;;;;;"T;";;;
Balloon Pop 2;3DS;2012;Puzzle;UFO Interactive;0.01;0;0;0;0.01;;;;;"E;";;;
Barbie and Her Sisters Puppy Rescue;3DS;2015;Action;Namco Bandai Games;0;0.03;0;0;0.03;;;;;"E;";;;
Batman: Arkham Origins Blackgate;3DS;2013;Action;Warner Bros. Interactive Entertainment;0.16;0.09;0;0.02;0.27;68;7;6.8;38;"T;";;;
Bella Sara 2 - The Magic of Drasilmare;3DS;2013;Adventure;Big Ben Interactive;0;0.03;0;0;0.03;;;;;";";;;
Ben 10 Galactic Racing;3DS;2011;Racing;D3Publisher;0.07;0.07;0;0.01;0.15;;;;;"E;";;;
Ben 10 Omniverse 2;3DS;2013;Action;Namco Bandai Games;0;0.02;0;0;0.02;;;7.6;5;"E10+;";;;
Beyblade Burst;3DS;2016;Role-Playing;FuRyu;0;0;0.04;0;0.04;;;;;";";;;
Beyblade Evolution;3DS;2013;Action;Rising Star Games;0.03;0.02;0;0;0.05;49;7;6.3;4;"E;";;;
Beyond the Labyrinth;3DS;2012;Role-Playing;Konami Digital Entertainment;0;0;0.03;0;0.03;;;;;";";;;
Big Hero 6: Battle in the Bay;3DS;2014;Action;GameMill Entertainment;0;0.03;0;0;0.03;;;;;";";;;
BIT.TRIP SAGA;3DS;2011;Misc;Rising Star Games;0.09;0.04;0;0.01;0.14;75;21;7.8;24;"E;";;;
BlazBlue: Continuum Shift II;3DS;2011;Fighting;PQube;0.05;0.01;0.04;0.01;0.11;64;14;6.1;19;"T;";;;
Brain Age: Concentration Training;3DS;2012;Puzzle;Nintendo;0.09;0;0;0.01;0.09;71;11;7.9;17;"E;";;;
Bravely Default: Flying Fairy;3DS;2012;Role-Playing;Nintendo;0.5;0.32;0.49;0.08;1.38;;;;;";";;;
Bravely Second: End Layer;3DS;2015;Role-Playing;Nintendo;0.19;0.11;0.19;0.03;0.51;81;70;7.4;108;"T;";;;
Brunswick Pro Bowling;3DS;2011;Sports;Crave Entertainment;0.11;0;0;0.01;0.12;;;;;"E;";;;
Bust-A-Move Universe;3DS;2011;Puzzle;Square Enix;0.08;0.15;0.06;0.03;0.31;49;30;4.8;13;"E;";;;
Canimal Triple;3DS;2014;Misc;Warner Bros. Interactive Entertainment;0;0.01;0;0;0.01;;;;;";";;;
Captain America: Super Soldier;3DS;2011;Action;Sega;0.05;0.03;0;0.01;0.08;51;9;5;6;"T;";;;
Card Fight!! Vanguard G: Stride to Victory!!;3DS;2016;Misc;FuRyu;0;0;0.05;0;0.05;;;;;";";;;
Cardfight!! Vanguard: Lock On Victory!!;3DS;2014;Misc;FuRyu;0;0;0.07;0;0.07;;;;;";";;;
Cardfight!! Vanguard: Ride to Victory;3DS;2013;Misc;FuRyu;0;0;0.09;0;0.09;;;;;";";;;
Carnival Games: Wild West 3D;3DS;2011;Misc;Take-Two Interactive;0.06;0.02;0;0.01;0.09;;;;;"E10+;";;;
Cars 2;3DS;2011;Racing;Disney Interactive Studios;0.21;0;0;0.02;0.23;;;;;";";;;
Cartoon Network Battle Crashers;3DS;2016;Action;FuRyu Corporation;0.02;0.01;0;0;0.03;21;4;;;"E10+;";;;
Cartoon Network: Punch Time Explosion;3DS;2011;Fighting;Deep Silver;0.07;0.02;0;0.01;0.1;58;16;5.7;29;"E10+;";;;
Castlevania: Lords of Shadow - Mirror of Fate;3DS;2013;Action;Konami Digital Entertainment;0.04;0.07;0.03;0.01;0.15;;;;;";";;;
Cave Story 3D;3DS;2011;Platform;Nippon Ichi Software;0.09;0.03;0.01;0.01;0.14;82;29;7.7;72;"E10+;";;;
Centipede: Infestation;3DS;2011;Shooter;Atari;0.04;0;0;0;0.05;;;;;"E10+;";;;
Chibi Devi!;3DS;2012;Action;Alchemist;0;0;0.01;0;0.01;;;;;";";;;
Chibi-Robo! Zip Lash;3DS;2015;Platform;Nintendo;0.1;0.08;0.06;0.02;0.25;;;;;";";;;
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi;3DS;2012;Action;Namco Bandai Games;0;0;0.07;0;0.07;;;;;";";;;
Chousoku Henkei Gyrozetter: Albatross no Tsubasa;3DS;2013;Role-Playing;Square Enix;0;0;0.05;0;0.05;;;;;";";;;
Clash of Elementalists;3DS;2013;Action;Unknown;0;0.03;0;0;0.03;;;;;";";;;
Code Name: S.T.E.A.M.;3DS;2015;Strategy;Nintendo;0.14;0.05;0.01;0.02;0.21;69;69;7.8;126;"T;";;;
Code of Princess;3DS;2012;Action;Agatsuma Entertainment;0.16;0;0.03;0.01;0.2;67;38;7.6;73;"T;";;;
Combat of Giants: Dinosaurs 3D;3DS;2011;Strategy;Ubisoft;0.25;0.06;0.05;0.03;0.39;44;18;5.3;9;"E10+;";;;
Conception II: Children of the Seven Stars;3DS;2013;Role-Playing;Screenlife;0.09;0;0.03;0.01;0.12;62;11;7.7;44;"M;";;;
Cooking Mama 4: Kitchen Magic!;3DS;2011;Simulation;505 Games;0.5;0.07;0;0.05;0.61;56;6;6;7;"E;";;;
Cooking Mama 5: Bon Appetit!;3DS;2013;Simulation;Office Create;0;0;0.03;0;0.03;;;;;";";;;
Cooking Mama: My Sweets Shop;3DS;2014;Simulation;Office Create;0;0;0.04;0;0.04;;;;;";";;;
Corpse Party: Back to School Edition;3DS;2016;Adventure;Xseed Games;0.07;0;0;0.01;0.07;;;;;";";;;
Corpse Party: Blood Covered - Repeated Fear;3DS;2015;Adventure;5p;0;0;0.04;0;0.04;;;;;";";;;
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!;3DS;2014;Adventure;Namco Bandai Games;0;0;0.06;0;0.06;;;;;";";;;
Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!;3DS;2011;Action;Namco Bandai Games;0;0;0.02;0;0.02;;;;;";";;;
Crush3D;3DS;2012;Platform;Sega;0.08;0.04;0;0.01;0.13;71;32;7.4;16;"E10+;";;;
Cubic Ninja;3DS;2011;Platform;Ubisoft;0.05;0.04;0;0.01;0.1;51;15;5.9;14;"E;";;;
Culdcept;3DS;2012;Misc;Nintendo;0;0;0.16;0;0.16;;;;;";";;;
Culdcept Revolt;3DS;2016;Strategy;Nintendo;0;0;0.07;0;0.07;;;;;";";;;
Cut the Rope;3DS;2014;Puzzle;Activision;0.06;0;0;0.01;0.07;;;;;"E;";;;
Daigasso! Band Brothers P;3DS;2013;Misc;Nintendo;0;0;0.18;0;0.18;;;;;";";;;
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima;3DS;2012;Action;Namco Bandai Games;0;0;0.08;0;0.08;;;;;";";;;
Dead or Alive: Dimensions;3DS;2011;Fighting;Ubisoft Annecy;0.13;0.21;0.07;0.03;0.45;79;62;8.2;114;"T;";;;
Deca Sports Extreme;3DS;2011;Sports;Hudson Soft;0.08;0;0.03;0.01;0.12;52;6;;;"E;";;;
Deer Drive: Legends;3DS;2012;Action;Maximum Family Games;0.03;0;0;0;0.03;;;;;"T;";;;
Derby Stallion Gold;3DS;2014;Sports;Kadokawa Shoten;0;0;0.15;0;0.15;;;;;";";;;
Detective Conan: Marionette Symphony;3DS;2013;Adventure;Namco Bandai Games;0;0;0.05;0;0.05;;;;;";";;;
Detective Conan: Phantom Rhapsody;3DS;2014;Action;Namco Bandai Games;0;0;0.03;0;0.03;;;;;";";;;
Detective Jinguuji Saburo: Ronde Revenge;3DS;2012;Action;Arc System Works;0;0;0.02;0;0.02;;;;;";";;;
Devil Survivor: Over Clock;3DS;2015;Strategy;Atlus;0;0;0.02;0;0.02;;;;;";";;;
Digimon Universe: Appli Monsters;3DS;2016;Action;Namco Bandai Games;0;0;0.01;0;0.01;;;;;";";;;
Digimon World Re:Digitize Decode;3DS;2013;Role-Playing;Namco Bandai Games;0;0;0.09;0;0.09;;;;;";";;;
Disney Art Academy;3DS;2016;Action;Nintendo;0.03;0.04;0.09;0.01;0.16;72;16;6.8;5;"E;";;;
Disney Infinity;3DS;2013;Action;Disney Interactive Studios;0.18;0.1;0;0.03;0.3;;;;;";";;;
Disney Magic World 2;3DS;2015;Action;Nintendo;0.04;0.22;0.21;0.02;0.49;;;;;";";;;
Disney Magical World;3DS;2013;Adventure;Nintendo;0.17;0.2;0.53;0.03;0.93;71;27;7.3;22;"E;";;;
Disney Planes Fire & Rescue;3DS;2014;Action;Disney Interactive Studios;0.01;0.08;0;0.01;0.09;;;;;";";;;
Disney's Planes;3DS;2013;Simulation;Disney Interactive Studios;0.04;0.03;0;0.01;0.07;;;4.3;6;"E;";;;
Doctor Lautrec and the Forgotten Knights;3DS;2011;Adventure;Konami Digital Entertainment;0.07;0.05;0.03;0.01;0.16;53;19;6.1;8;"E10+;";;;
Doki Doki! PreCure Narikiri Life!;3DS;2013;Action;Namco Bandai Games;0;0;0.04;0;0.04;;;;;";";;;
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!;3DS;2014;Adventure;Happinet;0;0;0.04;0;0.04;;;;;";";;;
Donkey Kong Country Returns;3DS;2013;Platform;Nintendo;0.75;0.62;0.41;0.13;1.91;;;;;";";;;
Doraemon: Nobita and the Island of Miracles;3DS;2012;Action;FuRyu;0;0;0.08;0;0.08;;;;;";";"E;";;
Doraemon: Nobita no Uchuu Eiyuuki;3DS;2015;Action;FuRyu;0;0;0.06;0;0.06;;;;;";";;;
Doraemon: Nobita to Himitsu Dougu Hakubutsukan;3DS;2013;Action;FuRyu;0;0;0.07;0;0.07;;;;;";";;;
Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta;3DS;2014;Action;FuRyu;0;0;0.04;0;0.04;;;;;";";;;
Doraemon: Shin Nobita no Nihon Tanjou;3DS;2016;Misc;FuRyu;0;0;0.04;0;0.04;;;;;";";;;
DoraMoji: Nobita no Kanji Daisakusen;3DS;2015;Misc;Shogakukan;0;0;0.04;0;0.04;;;;;";";;;
